2021-10-24 17:09:53 | INFO | fairseq_cli.generate | Namespace(all_gather_list_size=16384, batch_size=64, batch_size_valid=64, beam=5, bf16=False, bpe='sentencepiece', broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', constraints=None, cpu=False, criterion='cross_entropy', curriculum=0, data='/mnt/Machine-Translation/processed/gu/gu-en', data_buffer_size=10, dataset_impl=None, ddp_backend='c10d', decoding_format=None, device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_port=-1, distributed_rank=0, distributed_world_size=1, distributed_wrapper='DDP', diverse_beam_groups=-1, diverse_beam_strength=0.5, diversity_rate=-1.0, empty_cache_freq=0, eval_bleu=False, eval_bleu_args=None, eval_bleu_detok='space', eval_bleu_detok_args=None, eval_bleu_print_samples=False, eval_bleu_remove_bpe=None, eval_tokenized_bleu=False, fast_stat_sync=False, find_unused_parameters=False, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', iter_decode_eos_penalty=0.0, iter_decode_force_max_iter=False, iter_decode_max_iter=10, iter_decode_with_beam=1, iter_decode_with_external_reranker=False, langs='ar_AR,cs_CZ,de_DE,en_XX,es_XX,et_EE,fi_FI,fr_XX,gu_IN,hi_IN,it_IT,ja_XX,kk_KZ,ko_KR,lt_LT,lv_LV,my_MM,ne_NP,nl_XX,ro_RO,ru_RU,si_LK,tr_TR,vi_VN,zh_CN', left_pad_source='True', left_pad_target='False', lenpen=1, lm_path=None, lm_weight=0.0, load_alignments=False, localsgd_frequency=3, log_format=None, log_interval=100, lr_scheduler='fixed', lr_shrink=0.1, match_source_len=False, max_len_a=0, max_len_b=200, max_source_positions=1024, max_target_positions=1024, max_tokens=None, max_tokens_valid=None, memory_efficient_bf16=False, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', model_parallel_size=1, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, no_seed_provided=False, nprocs_per_node=1, num_batch_buckets=0, num_shards=1, num_workers=1, optimizer=None, path='/mnt/Machine-Translation/no_transfer/checkpoint_best.pt', pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, prefix_size=0, prepend_bos=False, print_alignment=False, print_step=False, profile=False, quantization_config_path=None, quiet=False, remove_bpe='sentencepiece', replace_unk=None, required_batch_size_multiple=8, required_seq_len_multiple=1, results_path=None, retain_dropout=False, retain_dropout_modules=None, retain_iter_history=False, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, scoring='bleu', seed=1, sentencepiece_model='/mnt/mbart.cc25.v2/sentence.bpe.model', shard_id=0, skip_invalid_size_inputs_valid_test=False, slowmo_algorithm='LocalSGD', slowmo_momentum=None, source_lang='gu_IN', target_lang='en_XX', task='translation_from_pretrained_bart', temperature=1.0, tensorboard_logdir=None, threshold_loss_scale=None, tokenizer=None, tpu=False, train_subset='train', truncate_source=False, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, valid_subset='valid', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, warmup_updates=0, zero_sharding='none')
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [gu_IN] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [en_XX] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.gu_IN
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.en_XX
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | /mnt/Machine-Translation/processed/gu/gu-en test gu_IN-en_XX 930 examples
2021-10-24 17:09:55 | INFO | fairseq_cli.generate | loading model(s) from /mnt/Machine-Translation/no_transfer/checkpoint_best.pt
S-315	đôngminh[gu_IN]
T-315	đôngminh
H-315	-2.204510450363159	minh
D-315	-2.204510450363159	minh
P-315	-0.0068 -6.6595 -0.4389 -1.7128
S-267	કામરુપ[gu_IN]
T-267	kamarupa
H-267	-1.714646339416504	
D-267	-1.714646339416504	
P-267	-0.0067 -3.4226
S-216	ફાગુ[gu_IN]
T-216	fagu
H-216	-1.5937237739562988	
D-216	-1.5937237739562988	
P-216	-0.0066 -3.1808
S-49	મુખ્યમંત્રી[gu_IN]
T-49	chiefminister
H-49	-0.71263587474823	મંત્રી
D-49	-0.71263587474823	મંત્રી
P-49	-0.0069 -2.2844 -0.3491 -0.2101
S-187	ભવાઇ[gu_IN]
T-187	bhavai
H-187	-1.76167893409729	
D-187	-1.76167893409729	
P-187	-0.0068 -3.5166
S-824	ભારતીયો[gu_IN]
T-824	indianpeople
H-824	-1.245711088180542	
D-824	-1.245711088180542	
P-824	-0.0078 -2.4836
S-501	ડિસેમ્બર૫[gu_IN]
T-501	december5
H-501	-1.2234268188476562	૫
D-501	-1.2234268188476562	૫
P-501	-0.0069 -4.5886 -0.1237 -0.1744
S-58	મે૧૯[gu_IN]
T-58	may19
H-58	-0.8587518334388733	
D-58	-0.8587518334388733	
P-58	-0.0064 -1.7111
S-859	ઉન[gu_IN]
T-859	unsurat
H-859	-0.43950939178466797	
D-859	-0.43950939178466797	
P-859	-0.0070 -0.8720
S-62	કંસ[gu_IN]
T-62	kamsa
H-62	-0.9148852825164795	
D-62	-0.9148852825164795	
P-62	-0.0067 -1.8231
S-589	એપ્રિલ૧૦[gu_IN]
T-589	april10
H-589	-1.2071330547332764	
D-589	-1.2071330547332764	
P-589	-0.0069 -2.4074
S-587	સપ્ટેમ્બર૨૦[gu_IN]
T-587	september20
H-587	-0.8661264777183533	
D-587	-0.8661264777183533	
P-587	-0.0071 -1.7252
S-733	એપ્રિલ૪[gu_IN]
T-733	april4
H-733	-1.2518776655197144	૪
D-733	-1.2518776655197144	૪
P-733	-0.0068 -4.4060 -0.1682 -0.4265
S-673	સીદી[gu_IN]
T-673	siddi
H-673	-1.846966028213501	
D-673	-1.846966028213501	
P-673	-0.0066 -3.6873
S-93	સપ્ટેમ્બર૫[gu_IN]
T-93	september5
H-93	-1.1281388998031616	૫
D-93	-1.1281388998031616	૫
P-93	-0.0069 -4.1035 -0.2271 -0.1750
S-213	માંડવી[gu_IN]
T-213	mandvi
H-213	-1.81866455078125	
D-213	-1.81866455078125	
P-213	-0.0070 -3.6303
S-848	જુવાર[gu_IN]
T-848	millet
H-848	-1.6340566873550415	
D-848	-1.6340566873550415	
P-848	-0.0070 -3.2611
S-748	જેસર[gu_IN]
T-748	jesar
H-748	-2.1805343627929688	gujarati language
D-748	-2.1805343627929688	gujaratilanguage
P-748	-0.0070 -5.8339 -2.5236 -1.2343 -4.1342 -1.0006 -0.5301
S-131	મોક્ષ[gu_IN]
T-131	moksha
H-131	-0.6537497043609619	
D-131	-0.6537497043609619	
P-131	-0.0070 -1.3005
S-499	શ્રીનગર[gu_IN]
T-499	srinagar
H-499	-1.6031192541122437	
D-499	-1.6031192541122437	
P-499	-0.0066 -3.1996
S-211	કાનપુર[gu_IN]
T-211	kanpur
H-211	-0.36834073066711426	
D-211	-0.36834073066711426	
P-211	-0.0066 -0.7301
S-842	ઉપમા[gu_IN]
T-842	upma
H-842	-0.19800691306591034	
D-842	-0.19800691306591034	
P-842	-0.0070 -0.3890
S-642	યાત્રા[gu_IN]
T-642	yatra
H-642	-1.2486836910247803	
D-642	-1.2486836910247803	
P-642	-0.0070 -2.4904
S-557	કરુર[gu_IN]
T-557	karur
H-557	-1.3627797365188599	
D-557	-1.3627797365188599	
P-557	-0.0071 -2.7185
S-689	બાબર[gu_IN]
T-689	babur
H-689	-1.3578238487243652	
D-689	-1.3578238487243652	
P-689	-0.0068 -2.7089
S-420	વર્ધા[gu_IN]
T-420	wardha
H-420	-0.8138166666030884	
D-420	-0.8138166666030884	
P-420	-0.0064 -1.6212
S-694	હજ[gu_IN]
T-694	hajj
H-694	-1.3954650163650513	
D-694	-1.3954650163650513	
P-694	-0.0063 -2.7846
S-871	સમાજશાસ્ત્ર[gu_IN]
T-871	socialscience
H-871	-1.9112361669540405	સમાજ સમાજ
